url,clicks,impressions,position,title,status,canonical,notes
https://buffalocannabisnetwork.com/,57,994,23.89,Buffalo Cannabis Network » Building The Industry Together,200,https://buffalocannabisnetwork.com/,
https://buffalocannabisnetwork.com/events/,10,81,4.0,Archives: Events » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com,
https://buffalocannabisnetwork.com/news/inside-snowbelt-cannabis-small-batch-solventless-women-veteran-owned/,6,82,10.73,"Inside Snowbelt Cannabis: Small-Batch, Solventless, Women & Veteran-Owned » Buffalo Cannabis Network",200,https://buffalocannabisnetwork.com/news/inside-snowbelt-cannabis-small-batch-solventless-women-veteran-owned/,
https://buffalocannabisnetwork.com/membership/,4,176,3.36,Membership » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com/membership/,
https://buffalocannabisnetwork.com/members/green-room-cannabis/,4,53,4.19,Green Room Cannabis » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com/members/green-room-cannabis/,
https://buffalocannabisnetwork.com/about/,3,425,11.68,Building a Stronger Cannabis Community » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com/about/,
https://buffalocannabisnetwork.com/new-york-cannabis-market-overview-2024-early-2025/,2,428,6.3,Page not found » Buffalo Cannabis Network,404,https://buffalocannabisnetwork.com,
https://buffalocannabisnetwork.com/ny-cannabis-cross-tier-branding-case-2025/,2,198,7.58,Page not found » Buffalo Cannabis Network,404,https://buffalocannabisnetwork.com,
https://buffalocannabisnetwork.com/contact-buffalo-cannabis-network/,2,181,12.55,Connect With WNY Cannabis Businesses » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com/contact-buffalo-cannabis-network/,
https://buffalocannabisnetwork.com/members/,2,124,46.85,Archives: Members » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com,
https://buffalocannabisnetwork.com/news/tag/new-york-cannabis-processors/,2,5,3.6,Tag: New York Cannabis Processors » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com,tag archive URL (index bloat candidate)
https://buffalocannabisnetwork.com/news/new-york-cannabis-market-overview-2024-early-2025/,1,359,7.33,New York Cannabis Market Overview: 2024-Early 2025 » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com/news/new-york-cannabis-market-overview-2024-early-2025/,
https://buffalocannabisnetwork.com/members/drs-testing/,1,26,5.31,DRS Testing » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com/members/drs-testing/,
https://buffalocannabisnetwork.com/members/amplified-buffalo-news/,1,23,6.35,Amplified (Buffalo News) » Buffalo Cannabis Network,200,https://buffalocannabisnetwork.com/members/amplified-buffalo-news/,
https://buffalocannabisnetwork.com/events/coffee-networking/,1,9,17.11,Page not found » Buffalo Cannabis Network,404,https://buffalocannabisnetwork.com,
https://buffalocannabisnetwork.com/members/cannabookkeeper-ny-cbkny/,1,7,11.14,Page not found » Buffalo Cannabis Network,404,https://buffalocannabisnetwork.com,
